n_events_target,run,seed,initial_utility,initial_assignments,event_idx,professor_code,repair_elapsed_s,repair_affected,repair_repaired,perturbation_ratio,final_utility,delta_utility,is_successful,error
1,1,100,0.363069,35,0,,,,,,0.363069,0.0,True,
1,1,100,0.363069,35,1,PRF_001,0.025,2,35,0.1143,0.364788,0.00172,True,
1,2,200,0.333101,38,0,,,,,,0.333101,0.0,True,
1,2,200,0.333101,38,1,PRF_001,0.035,2,38,0.1053,0.328847,-0.004254,True,
1,3,300,0.350999,39,0,,,,,,0.350999,0.0,True,
1,3,300,0.350999,39,1,PRF_001,0.036,2,39,0.1026,0.350784,-0.000215,True,
5,1,100,0.362555,35,0,,,,,,0.362555,0.0,True,
5,1,100,0.362555,35,1,PRF_001,0.034,2,35,0.1143,0.364466,0.001911,True,
5,1,100,0.362555,35,2,PRF_002,0.031,2,35,0.1143,0.364657,0.002102,True,
5,1,100,0.362555,35,3,PRF_003,0.031,3,35,0.1714,0.36125,-0.001305,True,
5,1,100,0.362555,35,4,PRF_004,0.033,4,35,0.2286,0.340668,-0.021887,True,
5,1,100,0.362555,35,5,PRF_005,0.031,2,35,0.1143,0.341623,-0.020932,True,
5,2,200,0.333602,38,0,,,,,,0.333602,0.0,True,
5,2,200,0.333602,38,1,PRF_001,0.039,2,38,0.1053,0.329348,-0.004254,True,
5,2,200,0.333602,38,2,PRF_002,0.036,2,38,0.1053,0.329158,-0.004444,True,
5,2,200,0.333602,38,3,PRF_003,0.036,2,38,0.1053,0.330503,-0.003099,True,
5,2,200,0.333602,38,4,PRF_004,0.038,4,38,0.2105,0.320055,-0.013547,True,
5,2,200,0.333602,38,5,PRF_005,0.035,3,38,0.1579,0.311868,-0.021734,True,
5,3,300,0.351573,39,0,,,,,,0.351573,0.0,True,
5,3,300,0.351573,39,1,PRF_001,0.039,2,39,0.1026,0.351316,-0.000257,True,
5,3,300,0.351573,39,2,PRF_002,0.037,2,39,0.1026,0.3385,-0.013073,True,
5,3,300,0.351573,39,3,PRF_003,0.034,2,39,0.1026,0.34076,-0.010813,True,
5,3,300,0.351573,39,4,PRF_004,0.038,3,39,0.1538,0.325754,-0.025819,True,
5,3,300,0.351573,39,5,PRF_005,0.037,3,39,0.1538,0.308978,-0.042595,True,
10,1,100,0.362726,35,0,,,,,,0.362726,0.0,True,
10,1,100,0.362726,35,1,PRF_001,0.033,2,35,0.1143,0.368132,0.005406,True,
10,1,100,0.362726,35,2,PRF_002,0.033,2,35,0.1143,0.368514,0.005788,True,
10,1,100,0.362726,35,3,PRF_003,0.03,3,35,0.1714,0.367355,0.004629,True,
10,1,100,0.362726,35,4,PRF_004,0.035,4,35,0.2286,0.346964,-0.015762,True,
10,1,100,0.362726,35,5,PRF_005,0.031,2,35,0.1143,0.348302,-0.014424,True,
10,1,100,0.362726,35,6,PRF_006,0.032,2,35,0.1143,0.352486,-0.01024,True,
10,1,100,0.362726,35,7,PRF_007,0.032,2,35,0.1143,0.351156,-0.011571,True,
10,1,100,0.362726,35,8,PRF_008,0.032,3,35,0.1714,0.350965,-0.011762,True,
10,1,100,0.362726,35,9,PRF_009,0.031,2,35,0.1143,0.348109,-0.014617,True,
10,1,100,0.362726,35,10,PRF_010,0.029,2,35,0.1143,0.345443,-0.017283,True,
10,2,200,0.332673,38,0,,,,,,0.332673,0.0,True,
10,2,200,0.332673,38,1,PRF_001,0.058,2,38,0.1053,0.334354,0.001681,True,
10,2,200,0.332673,38,2,PRF_002,0.053,2,38,0.1053,0.336708,0.004035,True,
10,2,200,0.332673,38,3,PRF_003,0.055,2,38,0.1053,0.338053,0.00538,True,
10,2,200,0.332673,38,4,PRF_004,0.058,4,38,0.2105,0.324032,-0.008641,True,
10,2,200,0.332673,38,5,PRF_005,0.054,3,38,0.1579,0.315509,-0.017164,True,
10,2,200,0.332673,38,6,PRF_006,0.064,3,38,0.1579,0.312313,-0.02036,True,
10,2,200,0.332673,38,7,PRF_007,0.054,3,38,0.1579,0.309285,-0.023387,True,
10,2,200,0.332673,38,8,PRF_008,0.056,2,38,0.1053,0.306573,-0.026099,True,
10,2,200,0.332673,38,9,PRF_009,0.063,2,38,0.1053,0.302412,-0.030261,True,
10,2,200,0.332673,38,10,PRF_010,0.061,3,38,0.1579,0.299957,-0.032715,True,
10,3,300,0.350422,39,0,,,,,,0.350422,0.0,True,
10,3,300,0.350422,39,1,PRF_001,0.062,2,39,0.1026,0.344747,-0.005675,True,
10,3,300,0.350422,39,2,PRF_002,0.056,2,39,0.1026,0.33193,-0.018492,True,
10,3,300,0.350422,39,3,PRF_003,0.057,2,39,0.1026,0.33419,-0.016232,True,
10,3,300,0.350422,39,4,PRF_004,0.059,3,39,0.1538,0.326309,-0.024113,True,
10,3,300,0.350422,39,5,PRF_005,0.062,3,39,0.1538,0.309533,-0.040889,True,
10,3,300,0.350422,39,6,PRF_006,0.058,3,39,0.1538,0.300682,-0.04974,True,
10,3,300,0.350422,39,7,PRF_007,0.063,3,39,0.1538,0.295113,-0.055309,True,
10,3,300,0.350422,39,8,PRF_008,0.059,3,39,0.1538,0.296888,-0.053534,True,
10,3,300,0.350422,39,9,PRF_009,0.06,3,39,0.1538,0.294808,-0.055613,True,
10,3,300,0.350422,39,10,PRF_010,0.066,3,39,0.1538,0.297954,-0.052468,True,
20,1,100,0.362755,35,0,,,,,,0.362755,0.0,True,
20,1,100,0.362755,35,1,PRF_001,0.054,2,35,0.1143,0.368161,0.005406,True,
20,1,100,0.362755,35,2,PRF_002,0.05,2,35,0.1143,0.368925,0.00617,True,
20,1,100,0.362755,35,3,PRF_003,0.052,3,35,0.1714,0.365709,0.002954,True,
20,1,100,0.362755,35,4,PRF_004,0.051,4,35,0.2286,0.345318,-0.017437,True,
20,1,100,0.362755,35,5,PRF_005,0.05,2,35,0.1143,0.346083,-0.016673,True,
20,1,100,0.362755,35,6,PRF_006,0.047,2,35,0.1143,0.350267,-0.012489,True,
20,1,100,0.362755,35,7,PRF_007,0.049,2,35,0.1143,0.349128,-0.013628,True,
20,1,100,0.362755,35,8,PRF_008,0.05,3,35,0.1714,0.34608,-0.016675,True,
20,1,100,0.362755,35,9,PRF_009,0.048,2,35,0.1143,0.343607,-0.019148,True,
20,1,100,0.362755,35,10,PRF_010,0.057,2,35,0.1143,0.340559,-0.022197,True,
20,1,100,0.362755,35,11,PRF_011,0.049,3,35,0.1714,0.34075,-0.022006,True,
20,1,100,0.362755,35,12,PRF_012,0.051,2,35,0.1143,0.338464,-0.024291,True,
20,1,100,0.362755,35,13,PRF_013,0.05,2,35,0.1143,0.336371,-0.026384,True,
20,1,100,0.362755,35,14,PRF_014,0.052,2,35,0.1143,0.332943,-0.029812,True,
20,1,100,0.362755,35,15,PRF_015,0.047,2,35,0.1143,0.329942,-0.032813,True,
20,2,200,0.332925,38,0,,,,,,0.332925,0.0,True,
20,2,200,0.332925,38,1,PRF_001,0.065,2,38,0.1053,0.328671,-0.004254,True,
20,2,200,0.332925,38,2,PRF_002,0.052,2,38,0.1053,0.328481,-0.004444,True,
20,2,200,0.332925,38,3,PRF_003,0.055,2,38,0.1053,0.324778,-0.008148,True,
20,2,200,0.332925,38,4,PRF_004,0.058,4,38,0.2105,0.314162,-0.018764,True,
20,2,200,0.332925,38,5,PRF_005,0.059,3,38,0.1579,0.310909,-0.022016,True,
20,2,200,0.332925,38,6,PRF_006,0.058,3,38,0.1579,0.308049,-0.024876,True,
20,2,200,0.332925,38,7,PRF_007,0.055,3,38,0.1579,0.301785,-0.031141,True,
20,2,200,0.332925,38,8,PRF_008,0.051,2,38,0.1053,0.302121,-0.030804,True,
20,2,200,0.332925,38,9,PRF_009,0.054,2,38,0.1053,0.302962,-0.029964,True,
20,2,200,0.332925,38,10,PRF_010,0.063,3,38,0.1579,0.302289,-0.030636,True,
20,2,200,0.332925,38,11,PRF_011,0.056,2,38,0.1053,0.293866,-0.039059,True,
20,2,200,0.332925,38,12,PRF_012,0.048,2,38,0.1053,0.294371,-0.038555,True,
20,2,200,0.332925,38,13,PRF_013,0.057,4,38,0.2105,0.28251,-0.050416,True,
20,2,200,0.332925,38,14,PRF_014,0.063,2,38,0.1053,0.282174,-0.050752,True,
20,2,200,0.332925,38,15,PRF_015,0.058,2,38,0.1053,0.278611,-0.054315,True,
20,3,300,0.351668,39,0,,,,,,0.351668,0.0,True,
20,3,300,0.351668,39,1,PRF_001,0.06,2,39,0.1026,0.351735,6.6e-05,True,
20,3,300,0.351668,39,2,PRF_002,0.065,2,39,0.1026,0.338918,-0.01275,True,
20,3,300,0.351668,39,3,PRF_003,0.06,2,39,0.1026,0.340855,-0.010813,True,
20,3,300,0.351668,39,4,PRF_004,0.067,3,39,0.1538,0.328378,-0.023291,True,
20,3,300,0.351668,39,5,PRF_005,0.06,3,39,0.1538,0.311602,-0.040067,True,
20,3,300,0.351668,39,6,PRF_006,0.06,3,39,0.1538,0.302589,-0.049079,True,
20,3,300,0.351668,39,7,PRF_007,0.064,3,39,0.1538,0.29702,-0.054648,True,
20,3,300,0.351668,39,8,PRF_008,0.06,3,39,0.1538,0.295409,-0.05626,True,
20,3,300,0.351668,39,9,PRF_009,0.061,3,39,0.1538,0.293778,-0.057891,True,
20,3,300,0.351668,39,10,PRF_010,0.063,3,39,0.1538,0.294262,-0.057407,True,
20,3,300,0.351668,39,11,PRF_011,0.059,2,39,0.1026,0.294423,-0.057245,True,
20,3,300,0.351668,39,12,PRF_012,0.059,3,39,0.1538,0.291327,-0.060341,True,
20,3,300,0.351668,39,13,PRF_013,0.058,2,39,0.1026,0.293368,-0.0583,True,
20,3,300,0.351668,39,14,PRF_014,0.06,3,39,0.1538,0.289256,-0.062412,True,
20,3,300,0.351668,39,15,PRF_015,0.06,2,39,0.1026,0.279523,-0.072146,True,
